TAIUTC       26     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
810217    2444652.500000000000     -.305602    .09121   .32231
810218    2444653.500000000000     -.307869    .09061   .32151
810219    2444654.500000000000     -.310158    .08991   .32061
810220    2444655.500000000000     -.312454    .08921   .31971
810221    2444656.500000000000     -.314735    .08851   .31881
810222    2444657.500000000000     -.317015    .08771   .31791
810223    2444658.500000000000     -.319271    .08691   .31711
810224    2444659.500000000000     -.321498    .08621   .31621
810225    2444660.500000000000     -.323694    .08562   .31542
810226    2444661.500000000000     -.325889    .08502   .31472
810227    2444662.500000000000     -.328090    .08462   .31392
810228    2444663.500000000000     -.330321    .08422   .31332
810301    2444664.500000000000     -.332593    .08402   .31262
810302    2444665.500000000000     -.334945    .08392   .31202
810303    2444666.500000000000     -.337404    .08392   .31142
810304    2444667.500000000000     -.340034    .08402   .31092
810305    2444668.500000000000     -.342867    .08432   .31032
810306    2444669.500000000000     -.345924    .08472   .30982
810307    2444670.500000000000     -.349175    .08522   .30922
810308    2444671.500000000000     -.352569    .08572   .30862
810309    2444672.500000000000     -.356001    .08632   .30802
810310    2444673.500000000000     -.359359    .08692   .30732
810311    2444674.500000000000     -.362568    .08762   .30672
810312    2444675.500000000000     -.365602    .08832   .30592
810313    2444676.500000000000     -.368481    .08912   .30522
810314    2444677.500000000000     -.371212    .08982   .30442
810315    2444678.500000000000     -.373822    .09052   .30362
810316    2444679.500000000000     -.376388    .09132   .30272
810317    2444680.500000000000     -.378960    .09212   .30192
810318    2444681.500000000000     -.381541    .09292   .30102
810319    2444682.500000000000     -.384167    .09362   .30022
810320    2444683.500000000000     -.386799    .09442   .29932
810321    2444684.500000000000     -.389418    .09522   .29852
810322    2444685.500000000000     -.391995    .09602   .29772
810323    2444686.500000000000     -.394505    .09672   .29692
810324    2444687.500000000000     -.396918    .09752   .29612
810325    2444688.500000000000     -.399212    .09822   .29532
810326    2444689.500000000000     -.401404    .09882   .29452
810327    2444690.500000000000     -.403503    .09952   .29372
810328    2444691.500000000000     -.405533    .10012   .29292
810329    2444692.500000000000     -.407560    .10062   .29212
810330    2444693.500000000000     -.409646    .10112   .29132
810331    2444694.500000000000     -.411835    .10152   .29042
810401    2444695.500000000000     -.414209    .10192   .28952
810402    2444696.500000000000     -.416793    .10222   .28862
810403    2444697.500000000000     -.419623    .10243   .28763
810404    2444698.500000000000     -.422662    .10263   .28653
810405    2444699.500000000000     -.425834    .10273   .28553
810406    2444700.500000000000     -.429022    .10283   .28433
810407    2444701.500000000000     -.432119    .10283   .28313
810408    2444702.500000000000     -.435050    .10273   .28193
810409    2444703.500000000000     -.437818    .10263   .28073
810410    2444704.500000000000     -.440449    .10243   .27943
810411    2444705.500000000000     -.443028    .10213   .27823
810412    2444706.500000000000     -.445594    .10183   .27703
810413    2444707.500000000000     -.448226    .10133   .27583
810414    2444708.500000000000     -.450928    .10083   .27463
810415    2444709.500000000000     -.453719    .10033   .27353
810416    2444710.500000000000     -.456590    .09973   .27243
810417    2444711.500000000000     -.459504    .09903   .27143
810418    2444712.500000000000     -.462428    .09843   .27043
810419    2444713.500000000000     -.465326    .09783   .26963
810420    2444714.500000000000     -.468168    .09723   .26873
810421    2444715.500000000000     -.470915    .09663   .26803
810422    2444716.500000000000     -.473555    .09603   .26733
810423    2444717.500000000000     -.476096    .09553   .26663
810424    2444718.500000000000     -.478552    .09503   .26603
810425    2444719.500000000000     -.480953    .09453   .26543
810426    2444720.500000000000     -.483343    .09423   .26493
810427    2444721.500000000000     -.485787    .09393   .26433
810428    2444722.500000000000     -.488324    .09373   .26373
810429    2444723.500000000000     -.491002    .09363   .26303
810430    2444724.500000000000     -.493859    .09353   .26243
810501    2444725.500000000000     -.496882    .09353   .26183
810502    2444726.500000000000     -.500018    .09363   .26113
810503    2444727.500000000000     -.503178    .09373   .26043
810504    2444728.500000000000     -.506246    .09383   .25973
810505    2444729.500000000000     -.509117    .09393   .25903
810506    2444730.500000000000     -.511733    .09403   .25833
810507    2444731.500000000000     -.514131    .09413   .25763
810508    2444732.500000000000     -.516388    .09413   .25693
810509    2444733.500000000000     -.518584    .09424   .25614
810510    2444734.500000000000     -.520787    .09434   .25544
810511    2444735.500000000000     -.523068    .09434   .25474
810512    2444736.500000000000     -.525424    .09444   .25404
810513    2444737.500000000000     -.527849    .09444   .25324
810514    2444738.500000000000     -.530338    .09444   .25254
810515    2444739.500000000000     -.532853    .09444   .25174
810516    2444740.500000000000     -.535369    .09434   .25094
810517    2444741.500000000000     -.537831    .09434   .25014
810518    2444742.500000000000     -.540247    .09424   .24934
810519    2444743.500000000000     -.542557    .09414   .24844
810520    2444744.500000000000     -.544780    .09394   .24754
810521    2444745.500000000000     -.546921    .09384   .24674
810522    2444746.500000000000     -.549000    .09354   .24584
810523    2444747.500000000000     -.551060    .09334   .24484
810524    2444748.500000000000     -.553133    .09294   .24394
810525    2444749.500000000000     -.555252    .09254   .24304
810526    2444750.500000000000     -.557476    .09194   .24204
810527    2444751.500000000000     -.559837    .09134   .24114
810528    2444752.500000000000     -.562342    .09064   .24014
810529    2444753.500000000000     -.564986    .08984   .23924
810530    2444754.500000000000     -.567701    .08904   .23824
810531    2444755.500000000000     -.570423    .08814   .23734
810601    2444756.500000000000     -.573038    .08734   .23644
810602    2444757.500000000000     -.575496    .08644   .23554
810603    2444758.500000000000     -.577752    .08564   .23464
810604    2444759.500000000000     -.579859    .08474   .23374
810605    2444760.500000000000     -.581907    .08394   .23294
810606    2444761.500000000000     -.583963    .08314   .23224
810607    2444762.500000000000     -.586069    .08234   .23144
810608    2444763.500000000000     -.588253    .08154   .23074
